,0
0,mexican
1,french
2,irish
3,italian
4,italian
5,italian
6,french
7,mexican
8,chinese
9,french
10,southern_us
11,thai
12,southern_us
13,french
14,southern_us
15,thai
16,southern_us
17,mexican
18,italian
19,french
20,korean
21,southern_us
22,french
23,italian
24,southern_us
25,italian
26,italian
27,korean
28,french
29,southern_us
30,chinese
31,moroccan
32,spanish
33,southern_us
34,italian
35,mexican
36,italian
37,italian
38,italian
39,southern_us
40,southern_us
41,italian
42,southern_us
43,french
44,thai
45,mexican
46,italian
47,southern_us
48,mexican
49,southern_us
50,mexican
51,southern_us
52,moroccan
53,italian
54,french
55,italian
56,italian
57,southern_us
58,italian
59,greek
60,southern_us
61,mexican
62,mexican
63,southern_us
64,mexican
65,italian
66,italian
67,italian
68,french
69,italian
70,italian
71,british
72,italian
73,southern_us
74,italian
75,southern_us
76,mexican
77,southern_us
78,british
79,irish
80,indian
81,southern_us
82,mexican
83,indian
84,irish
85,southern_us
86,southern_us
87,italian
88,french
89,italian
90,southern_us
91,mexican
92,mexican
93,greek
94,vietnamese
95,southern_us
96,italian
97,french
98,italian
99,italian
100,spanish
101,italian
102,french
103,french
104,british
105,southern_us
106,italian
107,french
108,french
109,jamaican
110,southern_us
111,southern_us
112,italian
113,italian
114,indian
115,irish
116,mexican
117,mexican
118,italian
119,southern_us
120,irish
121,french
122,italian
123,italian
124,spanish
125,italian
126,southern_us
127,greek
128,chinese
129,french
130,italian
131,southern_us
132,southern_us
133,italian
134,french
135,southern_us
136,french
137,french
138,mexican
139,japanese
140,chinese
141,italian
142,southern_us
143,southern_us
144,french
145,thai
146,italian
147,cajun_creole
148,southern_us
149,french
150,italian
151,greek
152,indian
153,italian
154,british
155,french
156,french
157,greek
158,russian
159,chinese
160,french
161,french
162,southern_us
163,french
164,french
165,french
166,italian
167,mexican
168,cajun_creole
169,italian
170,french
171,spanish
172,italian
173,chinese
174,italian
175,french
176,moroccan
177,italian
178,french
179,mexican
180,italian
181,french
182,southern_us
183,italian
184,italian
185,southern_us
186,italian
187,spanish
188,italian
189,japanese
190,southern_us
191,italian
192,french
193,mexican
194,southern_us
195,french
196,italian
197,british
198,spanish
199,french
200,mexican
201,mexican
202,southern_us
203,mexican
204,cajun_creole
205,russian
206,italian
207,italian
208,moroccan
209,thai
210,french
211,southern_us
212,southern_us
213,french
214,indian
215,french
216,french
217,french
218,italian
219,greek
220,french
221,japanese
222,chinese
223,french
224,spanish
225,french
226,italian
227,mexican
228,italian
229,southern_us
230,russian
231,indian
232,southern_us
233,italian
234,italian
235,japanese
236,southern_us
237,greek
238,mexican
239,french
240,mexican
241,french
242,italian
243,mexican
244,french
245,chinese
246,italian
247,cajun_creole
248,italian
249,italian
250,french
251,french
252,italian
253,italian
254,irish
255,french
256,italian
257,indian
258,italian
259,chinese
260,french
261,chinese
262,southern_us
263,southern_us
264,japanese
265,indian
266,moroccan
267,japanese
268,japanese
269,southern_us
270,italian
271,mexican
272,moroccan
273,french
274,southern_us
275,italian
276,french
277,indian
278,cajun_creole
279,italian
280,chinese
281,italian
282,southern_us
283,southern_us
284,italian
285,thai
286,italian
287,italian
288,mexican
289,indian
290,italian
291,greek
292,french
293,french
294,chinese
295,southern_us
296,greek
297,french
298,italian
299,mexican
300,italian
301,mexican
302,indian
303,french
304,southern_us
305,mexican
306,italian
307,southern_us
308,italian
309,french
310,french
311,mexican
312,italian
313,french
314,southern_us
315,italian
316,greek
317,french
318,italian
319,italian
320,mexican
321,french
322,southern_us
323,french
324,italian
325,irish
326,mexican
327,indian
328,brazilian
329,chinese
330,french
331,italian
332,italian
333,french
334,southern_us
335,mexican
336,indian
337,french
338,mexican
339,japanese
340,japanese
341,southern_us
342,spanish
343,french
344,japanese
345,french
346,spanish
347,thai
348,brazilian
349,southern_us
350,italian
351,greek
352,italian
353,southern_us
354,indian
355,southern_us
356,french
357,british
358,italian
359,french
360,italian
361,italian
362,french
363,moroccan
364,french
365,french
366,french
367,french
368,greek
